Дата отгрузки;Артикул;Наименование товара;Цена продажи (₽);Кол-во;Тип акции;Скидка, %
02.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1230;22;;0
04.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1450;18;;0
06.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1490;20;;0
08.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1610;6;;0
10.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1690;18;;0
12.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1770;9;;0
14.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1850;23;;0
16.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1890;7;;0
18.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2150;12;;0
20.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2230;7;;0
22.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2310;1;;0
24.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2390;6;;0
