Дата отгрузки;Артикул;Наименование товара;Цена продажи (₽);Кол-во;Тип акции;Скидка, %
02.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;610;46;;0
03.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;660;42;;0
04.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;710;38;;0
05.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;760;35;;0
06.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;810;31;Распродажа;5
07.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;860;27;;0
08.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;910;23;;0
09.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;960;19;;0
10.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1010;16;;0
11.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1060;12;;0
12.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1110;9;;0
13.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1160;6;;0
