Дата продажи;Артикул продавца;Категория;Бренд;Предмет;Размер;Цена розничная;Цена розничная со скидкой;Кол-во;Скидка постоянного покупателя СПП, %;Тип скидки
01.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;1390;1290;40;0;
02.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;1490;1390;36;0;
03.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;1590;1490;33;0;
04.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;1690;1590;29;0;
05.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;1790;1690;26;5;Акция
06.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;1890;1790;23;0;
07.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;1990;1890;20;0;
08.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;2090;1990;17;0;
09.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;2190;2090;14;0;
10.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;2290;2190;11;0;
11.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;2390;2290;9;0;
12.04.2026;SKU-KETTLE-003;Бытовая техника;NoName;Чайник;-;2490;2390;7;0;
