Дата заказа;Ваш SKU;Название товара;Цена за единицу, ₽;Количество;Промо-акция;Скидка, %
01.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1340;38;;0
02.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1440;35;;0
03.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1540;31;;0
04.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1640;28;;0
05.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1740;25;Скидка дня;6
06.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1840;22;;0
07.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;1940;19;;0
08.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2040;16;;0
09.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2140;13;;0
10.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2240;11;;0
11.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2340;8;;0
12.04.2026;SKU-KETTLE-003;Чайник электрический 1.7л;2440;6;;0
