Дата заказа;Ваш SKU;Название товара;Цена за единицу, ₽;Количество;Промо-акция;Скидка, %
01.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;650;30;;0
03.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;680;25;;0
05.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;670;26;;0
07.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;740;12;;0
09.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;770;23;;0
11.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;800;13;;0
13.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;830;27;;0
15.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;960;11;;0
17.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1030;1;;0
19.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1060;10;;0
21.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1090;1;;0
23.04.2026;SKU-TSHIRT-002;Футболка мужская хлопок;1120;9;;0
